"ID","Name","Mfg_Dt","Exp_Dt","Price"
"11","abacavir","06-03-2020","28-03-2022","200"
"10","aciclovir","23-02-2020","01-01-2022","200"
"59","aluminium hydroxide","06-03-2020","30-01-2022","340"
"56","amiloride","23-02-2020","01-01-2022","400"
"34","amodiaquine","04-02-2020","01-01-2022","230"
"33","amphotericin B","09-03-2020","05-03-2022","256"
"35","artemether","06-03-2020","30-01-2022","340"
"37","artesunate","01-02-2020","05-02-2022","120"
"19","atazanavir","24-02-2020","24-01-2022","200"
"53","calamine lotion","04-03-2020","28-02-2022","320"
"38","chloroquine","24-02-2020","23-02-2022","320"
"12","didanosine","24-02-2020","05-03-2022","300"
"31","diloxanide","23-02-2020","01-01-2022","400"
"54","dithranol","04-02-2020","05-02-2022","120"
"39","doxycycline","01-02-2020","01-01-2022","200"
"17","efavirenz","04-02-2020","22-01-2022","120"
"13","emtricitabine","23-02-2020","01-01-2022","256"
"1","ethambutol","06-03-2020","31-01-2022","200"
"7","ethionamide","03-03-2020","15-01-2022","120"
"55","furosemide","24-01-2020","23-02-2022","160"
"20","indinavir","01-02-2020","22-01-2022","300"
"2","isoniazid","24-02-2020","24-01-2022","300"
"14","lamivudine","24-02-2020","30-01-2022","230"
"36","lumefantrine","24-02-2020","03-01-2022","540"
"58","mannitol","09-03-2020","05-03-2022","256"
"40","mefloquine","30-03-2020","28-03-2022","300"
"62","metformin","23-02-2020","22-01-2022","340"
"32","metronidazole","03-02-2020","28-03-2022","300"
"18","nevirapine","06-03-2020","31-01-2022","320"
"8","ofloxacin","04-02-2020","05-02-2022","320"
"60","omeprazole","01-02-2020","05-02-2022","120"
"29","oseltamivir","04-02-2020","05-02-2022","120"
"9","p?aminosalicylic acid","24-01-2020","23-02-2022","400"
"52","Paracetamol","30-01-2020","23-02-2022","160"
"51","pentamidine","23-02-2020","22-01-2022","340"
"41","primaquine","25-02-2020","05-03-2022","256"
"48","proguanil","23-02-2020","28-02-2022","300"
"3","pyrazinamide","01-02-2020","22-01-2022","256"
"44","pyrimethamine","26-03-2020","31-01-2022","540"
"42","quinine","30-01-2020","01-01-2022","230"
"61","ranitidine","24-02-2020","23-02-2022","320"
"30","ribavirin","24-01-2020","23-02-2022","160"
"4","rifampicin","24-02-2020","21-01-2022","230"
"21","ritonavir","24-02-2020","21-01-2022","256"
"22","saquinavir","01-02-2020","28-02-2022","230"
"57","spironolactone","03-02-2020","28-03-2022","300"
"15","stavudine","03-02-2020","31-01-2022","340"
"6","streptomycin","26-03-2020","30-03-2022","540"
"50","sulfadiazine","24-01-2020","15-01-2022","230"
"43","sulfadoxine","04-03-2020","30-01-2022","340"
"25","tenofovir","30-01-2020","21-01-2022","120"
"16","zidovudine","09-03-2020","24-01-2022","540"
