"ID","Name","Mfg_Dt","Exp_Dt","Price"
"1","abacavir","01-03-2020","02-02-2022","150"
"22","amodiaquine","24-02-2020","01-01-2022","300"
"19","amphotericin B","09-03-2020","01-01-2022","400"
"23","artemether","01-02-2020","30-01-2022","256"
"24","artemether + lumefantrine","24-02-2020","31-01-2022","230"
"25","artesunate","01-02-2020","24-01-2022","340"
"10","atazanavir","30-01-2020","31-01-2022","230"
"32","carboplatin","03-02-2020","30-03-2022","230"
"33","chlorambucil","09-03-2020","15-01-2022","340"
"26","chloroquine","30-03-2020","22-01-2022","540"
"34","cyclophosphamide","04-02-2020","05-02-2022","540"
"35","cytarabine","06-03-2020","23-02-2022","120"
"36","dacarbazine","24-02-2020","01-01-2022","320"
"37","dactinomycin","01-02-2020","28-03-2022","150"
"38","daunorubicin","24-02-2020","05-03-2022","122"
"2","didanosine","21-02-2020","03-01-2022","122"
"17","diloxanide","24-02-2020","05-02-2022","120"
"39","doxorubicin","01-02-2020","01-01-2022","120"
"27","doxycycline","03-03-2020","31-01-2022","120"
"8","efavirenz","21-02-2020","01-01-2022","300"
"3","emtricitabine","25-02-2020","05-02-2022","120"
"40","etoposide","30-03-2020","30-01-2022","160"
"41","fluorouracil","25-02-2020","03-01-2022","400"
"42","hydroxycarbamide","30-01-2020","05-02-2022","300"
"43","ifosfamide","04-03-2020","23-02-2022","256"
"11","indinavir","04-03-2020","24-01-2022","340"
"4","lamivudine","30-01-2020","23-02-2022","160"
"12","lopinavir + ritonavir","26-03-2020","22-01-2022","540"
"28","mefloquine","04-02-2020","24-01-2022","320"
"44","mercaptopurine","26-03-2020","01-01-2022","230"
"45","mesna","03-03-2020","28-03-2022","340"
"46","methotrexate","04-02-2020","05-03-2022","540"
"18","metronidazole","03-02-2020","23-02-2022","160"
"9","nevirapine","25-02-2020","30-01-2022","256"
"15","oseltamivir","24-01-2020","30-03-2022","150"
"47","Paracetamol","30-01-2020","23-02-2022","150"
"20","paromomycin","04-02-2020","28-03-2022","200"
"29","primaquine","24-01-2020","22-01-2022","200"
"30","quinine","23-02-2020","21-01-2022","300"
"16","ribavirin","23-02-2020","15-01-2022","122"
"13","ritonavir","03-03-2020","21-01-2022","120"
"14","saquinavir","04-02-2020","28-02-2022","320"
"21","sodium stibogluconate or ","06-03-2020","05-03-2022","200"
"5","stavudine","04-03-2020","01-01-2022","400"
"31","sulfadoxine + pyrimethami","24-02-2020","28-02-2022","256"
"6","tenofovir disoproxil fuma","26-03-2020","28-03-2022","200"
"7","zidovudine","01-03-2020","05-03-2022","200"
