"ID","Name","Mfg_Dt","Exp_Dt","Price"
"2","Acetylsalicylic","21-02-2020","03-01-2022","122"
"19","albendazole","09-03-2020","01-01-2022","400"
"7","allopurinol","01-03-2020","05-03-2022","200"
"28","amoxicillin","04-02-2020","24-01-2022","320"
"9","azathioprine","25-02-2020","30-01-2022","256"
"15","carbamazepine","24-01-2020","30-03-2022","150"
"29","cefixime","24-01-2020","22-01-2022","200"
"34","cefotaxime","04-02-2020","05-02-2022","540"
"35","ceftazidime","06-03-2020","23-02-2022","120"
"30","ceftriaxone","23-02-2020","21-01-2022","300"
"36","chloramphenicol","24-02-2020","01-01-2022","320"
"8","chloroquine","21-02-2020","01-01-2022","300"
"12","chlorphenamine","26-03-2020","22-01-2022","540"
"37","ciprofloxacin","01-02-2020","28-03-2022","150"
"46","clindamycin","04-02-2020","05-03-2022","540"
"31","cloxacillin","24-02-2020","28-02-2022","256"
"5","codeine","04-03-2020","01-01-2022","400"
"48","dapsone","23-02-2020","30-01-2022","320"
"1","Diazepam","01-03-2020","02-02-2022","150"
"14","DL?methionine","04-02-2020","28-02-2022","320"
"38","doxycycline","24-02-2020","05-03-2022","122"
"39","erythromycin","01-02-2020","01-01-2022","120"
"40","gentamicin","30-03-2020","30-01-2022","160"
"3","Ibuprofen","25-02-2020","05-02-2022","120"
"20","levamisole","04-02-2020","28-03-2022","200"
"21","mebendazole","06-03-2020","05-03-2022","200"
"10","methotrexate","30-01-2020","31-01-2022","230"
"41","metronidazole","25-02-2020","03-01-2022","400"
"6","morphine","26-03-2020","28-03-2022","200"
"22","niclosamide","24-02-2020","01-01-2022","300"
"42","nitrofurantoin","30-01-2020","05-02-2022","300"
"27","oxamniquine","03-03-2020","31-01-2022","120"
"4","Paracetamol","30-01-2020","23-02-2022","160"
"16","phenobarbital","23-02-2020","15-01-2022","122"
"32","phenoxymethylpenicillin","03-02-2020","30-03-2022","230"
"17","phenytoin","24-02-2020","05-02-2022","120"
"23","praziquantel","01-02-2020","30-01-2022","256"
"13","prednisolone","03-03-2020","21-01-2022","120"
"33","procaine benzylpenicillin","09-03-2020","15-01-2022","340"
"24","pyrantel","24-02-2020","31-01-2022","230"
"43","spectinomycin","04-03-2020","23-02-2022","256"
"44","sulfamethoxazole","26-03-2020","01-01-2022","230"
"11","sulfasalazine","04-03-2020","24-01-2022","340"
"26","triclabendazole","30-03-2020","22-01-2022","540"
"45","trimethoprim","03-03-2020","28-03-2022","340"
"18","valproic acid","03-02-2020","23-02-2022","160"
"47","vancomycin","24-01-2020","01-01-2022","120"
